BLM_KEY,GEO_STATE,DIST_RA,RA,SITE_ID,MINE_NAME,MILS_ID,CRIBMRDS,STATE_ID,PRI_COMDTY,USGS_QUAD,UTM_ZONE,NORTHING,EASTING,TOWNSHIP,RANGE,SECTION,SUBDIV,MERIDIAN,COUNTYCD,SURF_OWN,MIN_OWN,ELEVATION,Secondary Commodity,Site is in,Within mile(s) of,VIS_ROAD,VIS_TRAIL,VIS_POPUL,DIFFICULTY,ACCESS_LEN,ACCESS_WID,Road Log,ACCESS_AC,HUMAN_USE,HUMAN_DES,SITE_ACRES,GEN_SLOPE,FLOODPLAIN,REC_MINACT,MINACT_DES,NO_OP_ADIT,NO_CL_ADIT,NO_OP_INCL,NO_CL_INCL,NO_OP_SHFT,NO_CL_SHFT,NO_STOPES,NO_OTH_OP,OTH_TYPE,NO_TRENCH,TRENCH_LEN,NO_PROSP,NO_OP_DH,NO_PIT_G30,NO_PIT_L30,PT_HIGHWAL,WASDMP_L01,WASDMP01_5,WASDMP_G5,TAILS_L_01,TAILS_01_5,TAILS_G5,NO_HEAPS,NO_DREDGE,NO_PONDS,NO_DAMS,NO_MILLS,MILL_TYPE,NO_EXPLSV,EXPLSV_DES,EQUIP_MACH,HEADFRAMES,TREST_TRAM,POWERLINES,STRUCTURES,STRUCT_TYP,STRUCT_CON,STRUCT_LOK,HOMESITES,OTHER_FEAT,VEG_COND,REVEG_EVID,REVEG_DESC,ANIML_EVID,ANIML_PRES,ANIML_DES,STAIN_SOIL,STAIN_DESC,SULF_MIN,SULFMINTYP,TAILS,FLOW_H2O,FLOW_PH,FLOW_COND,FLOW_GPM,STAND_H2O,STAND_PH,STAND_COND,TAILS_H2O,TAILS_PH,TAILS_COND,TAILS_GPM,WASTE_H2O,WASTE_PH,WASTE_COND,WASTE_GPM,ORE_H2O,ORE_PH,ORE_COND,ORE_GPM,AJ_GRD_H2O,AJ_GRD_PH,AJ_GRD_CON,AJ_GRD_GPM,AJ_GRD_DIS,AJ_SUR_H2O,AJ_SUR_PH,AJ_SUR_CON,AJ_SUR_GPM,AJ_SUR_DIS,AM_SURFH2O,AM_SURF_PH,AM_SURFCON,AM_SURFGPM,AM_SURFDST,BM_SURFH2O,BM_SURF_PH,BM_SURFCON,BM_SURFGPM,BM_SURFDST,AQUA_LIFE,AQUA_LOC,AQUA_DESCR,H2O_BEDCLR,NO_SAMPLES,CHEM_PILES,ACID_ODOR,ASBESTOS,PETROCHEMS,DUMPSITES,POWER_SUBS,TRANSFORMS,BARREL_TNK,LEAKING,CONTENTS,UNDRG_STOR,STOR_DESCR,OTHER,BACKG_RAD,ADIT_RAD,ADIT_WL,SHAFT_RAD,SHAFT_WL,OTHER_RAD,OTHER_WL,RILLS,GULLIES,SHEETWASH,UNSTABL_RX,SLOPE_INST,WIND_EROS,MITIG_STAT,MIT_FENCED,MIT_SIGNS,HAZ_MITIG,OTHER_MIT,MIT_COND,SITE_IDTAG,TAG_LOCT,THREATNED,CULTURAL,HISTORIC,OTHERH,OTHERDES,DATE,MAX_PDOP,RCVR_TYPE,FILT_POS,STD_DEV,GPS_HEIGHT,FIPSCODE,LONGITUDE,LATITUDE,LASTUDDATE,LASTUDTIME,LASTUDUSER,QUADNAME,SITENAME,COUNTY,WATERSHED,CONGRDIST,ALIASES,DATEADDED,ADDEDBY,CREATED DATE,LAST UPDATE,EST COST,ACT COST,AUTHORITY,ENV ASSESSMENT,NOTICE INTENT,FINAL EIS,ON THE GROUND WORK,DATA C_ENVIR,DATE C_INTENT,DATE C_EIS,DATE C_GROUND,PRP SEA,PRP NAME,PRP NAME2,PRP NAME3,FUNDS CONTRIBUTED,FUNDS CONTRIBUTED1,FUNDS CONTRIBUTED2,FUNDS CONTRIBUTED3,Condition
CO034801272,CO,348,,1272,Twilight Mines,,,,650,,12,4257250,689300,48N,18W,2,NWSW,23,85,NONBLM,NONBLM,,,,,3,,,2WD,,,,,,,0.5,11-35,,,,1,2,0,0,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,4,GOVERNMENT BUILDINGS,GOOD,,,,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,PROPANE TANK - NEW,,,,0.15,0.91,,,,,,,,,,,,NONE,,,,,GOOD,N,,FALSE,FALSE,FALSE,FALSE,,7/8/95,,,,,,08085,-108,38.44615238,,,,Red Canyon,,Montrose,Lower Dolores,03,,8/31/99,conversion,,,,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,
CO034801273,CO,348,,1273,Unknown,,,,650,,12,4251300,695900,48N,17W,21,SWSW,23,85,NONBLM,NONBLM,,,,,,,,2WD,,,,,,,1,11-35,,,,,2,,0,,,,,,,,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,,,,1.14,,,Y,,,,,-,,,,ADITS CLOSED BY DMG?,GOOD,N,,FALSE,FALSE,FALSE,FALSE,,7/8/95,,,,,,08085,-108,38.39114493,,,,Red Canyon,,Montrose,San Miguel,03,,8/31/99,conversion,,,,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,
CO034801274,CO,348,,1274,Golden Cycle Mine,,,,650,,12,4252850,692100,48N,18W,24,NENE,23,85,DOE,DOE,,,,,,,,2WD,,,,,,,4,0-10,,,,,,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,H,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,0.76,,0.61,,,,,,,,-,,,,,GOOD,N,,FALSE,FALSE,FALSE,FALSE,,7/8/95,,,,,,08085,-108,38.40592842,,,,Red Canyon,,Montrose,Lower Dolores,03,,8/31/99,conversion,,,,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,
CO034801275,CO,348,,1275,Unknown,,,,650,,12,4257600,693300,48N,17W,6,NWSE,23,85,BLM,BLM,,,,,,,,2WD,,,,,,,2,0-10,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,2,,,1,2,"FOUNDATION, OUTHOUSE",GOOD,,,,H,,,,,,,,,,,,,,,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.14,,,,,,,,NONE,,,,,FAIR,N,,FALSE,FALSE,FALSE,FALSE,,7/8/95,,,,,,08085,-108,38.44844705,,,,Red Canyon,,Montrose,Lower Dolores,03,,8/31/99,conversion,,,,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,
CO034801276,CO,348,,1276,Worcester,,,,650,,12,4252600,691600,48N,18W,24,SENW,23,85,BLM,BLM,,,,,3,,,2WD,,,,,,,1,0-10,,,,,0,,0,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,0.76,,1.14,,,,,,,,-,,,,,GOOD,N,,FALSE,FALSE,FALSE,FALSE,,7/8/95,,,,,,08085,-108,38.40378427,,,,Red Canyon,,Montrose,Lower Dolores,03,,8/31/99,conversion,,,,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,
CO034801277,CO,348,,1277,Bitter Creek Mine Group,,,,650,,12,4237300,701400,46N,17W,1,SESESW,23,85,BLM,BLM,,,,,3,,,2WD,,,,,,,1,0-10,,,,,0,1,0,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,WOOD,POOR,,,,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.21,,,,,,,,NONE,,,,,POOR,N,,FALSE,FALSE,FALSE,FALSE,,7/8/95,,,,,,08085,-108,38.26384826,,,,Uravan,,Montrose,Upper Dolores,03,,8/31/99,conversion,,,,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,
CO034801278,CO,348,,1278,Bitter Creek Mine Group,,,,650,,12,4237350,701350,46N,17W,1,NWSESW,23,85,BLM,BLM,,,,,3,,,2WD,,,,,,,2,,,,,3,0,,0,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,LOAD OUT & RAILS,POOR,,,,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.91,,,,0.83,,,,,,,,NONE,,,,,POOR,N,,FALSE,FALSE,FALSE,FALSE,,7/8/95,,,,,,08085,-108,38.26430974,,,,Uravan,,Montrose,Upper Dolores,03,,8/31/99,conversion,,,,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,
CO034801279,CO,348,,1279,Long Park Group,,,,650,,12,4238000,700180,46N,17W,2,SWSWNE,23,85,BLM,BLM,,,,,3,,,HIKE,,,,,,,2.5,11-35,,,,2,0,,0,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,1,WOOD,POOR,,,,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.72,,,,0.46,,,,,,,,NONE,,,,,POOR,N,,FALSE,FALSE,FALSE,FALSE,,7/8/95,,,,,,08085,-108,38.27042482,,,,Uravan,,Montrose,Upper Dolores,03,,8/31/99,conversion,,,,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,
CO034801280,CO,348,,1280,Long Park Group,,,,650,,12,4238550,701850,46N,17W,1,SWNWNE,23,85,DOE,DOE,,,,,3,,,HIKE,,,,,,,2,0-10,,,,,0,0,0,,,,1,SUBSIDENCE FEATURE,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19,0.19,,,,0.91,,Y,Y,,,,,-,,,,AREA SMOOTHED OUT,GOOD,N,,FALSE,FALSE,FALSE,FALSE,,7/8/95,,,,,,08085,-108,38.27500404,,,,Uravan,,Montrose,San Miguel,03,,8/31/99,conversion,,,,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,
CO034801281,CO,348,,1281,Donna K,,,,650,,12,4239700,703050,46N,16W,31,SWSENW,23,85,BLM,BLM,,,,,3,,,4WD,,,,,,,0.3,0-10,,,,,0,1,0,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,2,STRUCTURE & PLATFORM,POOR,,,,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,,,,,0.65,,,Y,,,,,NONE,,,,,POOR,N,,FALSE,FALSE,FALSE,FALSE,,7/8/95,,,,,,08085,-108,38.28508963,,,,Uravan,,Montrose,San Miguel,03,,8/31/99,conversion,,,,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,
